image_separation_(arcsec),Hbeta_time_la_(days),magnitude_image1,magnitude_image2or3,magnitude_source,sf_inf,velocity_dispersion_(km/s),z_deflector,z_source
1.227334,97.37290952300003,22.40947,20.157697169835565,20.85,0.1894522144817579,183.6538,0.23,0.8
1.440891,53.616556636105344,21.3135,20.632957927414438,22.45,0.24766517973690502,183.2314,0.236,0.89
1.837398,49.944324886976084,22.50968,20.803138071354134,22.21,0.24995376685817078,237.1374,0.238,0.8
2.668522,203.67108232040502,20.07213,19.25693985539208,21.65,0.15930759320211305,244.3431,0.26,1.48
2.193032,134.2112752077229,21.12203,19.909657044930427,21.19,0.1750250830286521,245.4709,0.274,1.05
0.7592835,125.53948304995791,22.7174,20.40171860542139,21.07,0.17736933065307908,140.2814,0.282,0.98
1.494357,299.18446447733,21.59722,20.590738297686702,22.57,0.15232195087309813,188.3649,0.288,2.27
3.68463,110.79456627530583,21.61146,20.11649570210924,21.21,0.18563096815611738,324.3396,0.326,0.95
2.022296,149.6658012230522,21.46407,20.37809094748242,22.33,0.18164695428227365,215.2782,0.334,1.5
1.462,174.59371000137148,21.26247,20.827980131291305,21.55,0.16548539324405345,188.7991,0.376,1.33
0.6543604,35.65826976386785,22.79148,20.602808212368107,21.15,0.26504021546264733,241.5461,0.386,0.48
1.567919,255.26872388474465,21.0329,20.32862852693164,22.07,0.15367295418031549,188.3649,0.396,1.85
0.5662208,379.3074636367771,21.95551,19.397026188875195,24.41,0.16436783882531328,116.9499,0.434,3.98
0.7369326,171.54108097917154,23.08279,20.85513024337052,23.33,0.18692251807188295,140.6048,0.44,2.07
2.452896,201.33391317698477,22.28904,20.539696234407536,21.43,0.15763519183003452,277.9713,0.458,1.39
1.367135,193.5079264297219,22.17085,20.966736041888687,22.01,0.1654211274066081,196.7886,0.476,1.58
0.7218025,217.28081721293154,21.52409,20.509866874368285,21.33,0.15325467571920365,147.2313,0.498,1.41
1.245501,243.3184509950523,21.55376,20.551593357734284,21.69,0.15185969931468246,194.9845,0.508,1.64
0.5959192,235.6851199415886,21.07683,20.137168990968757,21.85,0.1548459114088087,143.5489,0.534,1.68
0.8142231,294.2207565211872,22.44333,20.33084281284745,22.71,0.15454550417573742,158.4893,0.552,2.33
1.219131,216.06393285603093,21.93778,20.36146420945618,21.45,0.1546656266355376,207.0141,0.562,1.45
0.5737382,284.1867438868258,22.09434,20.909973243303803,22.85,0.157566670029562,130.017,0.578,2.37
2.232497,169.96906501495866,21.7405,20.39094491016782,23.17,0.1853349402992124,251.1886,0.582,1.98
0.5889032,176.1618388904036,21.36806,19.296791268674372,20.81,0.15791062876973794,173.3804,0.61,1.1
0.7631004,224.1584866523683,22.91611,20.718788048486946,21.61,0.15462050385486473,164.8162,0.626,1.54
1.204567,223.0695936482839,21.70642,20.735959808854226,22.43,0.16346220237835035,186.2087,0.668,1.89
0.8620623,187.84907918047384,21.64263,20.04943511761264,24.15,0.19341334499341406,149.6236,0.704,2.65
1.682128,239.8798988906804,21.68218,20.377838811837197,21.93,0.15490011378902255,247.7422,0.704,1.73
0.7122724,128.99485184867245,21.46151,20.23410172414342,22.91,0.19669157122490583,159.2209,0.722,1.61
1.502204,236.1552622017502,21.25832,20.846829030314723,22.25,0.15894957222679187,225.4239,0.73,1.86
1.16429,325.031636357244,21.33306,20.46000342462577,23.11,0.1549160008975273,205.1162,0.736,2.7
0.5570567,241.54073869089126,22.34846,20.060366701475026,22.31,0.158605710496871,145.8814,0.744,1.91
1.084552,252.77470213584994,20.782,19.720864389121253,22.09,0.15430053793883056,203.7042,0.756,1.85
1.671685,162.9973686961878,21.52605,20.917096105238393,21.69,0.1702745206344658,290.4023,0.758,1.33
1.250592,74.29677935986852,23.11908,20.750170478004218,23.91,0.24533435830646888,250.6109,0.824,1.56
1.406558,146.52385405492632,21.86563,20.668389051185567,24.45,0.21122164341796407,234.4229,0.884,2.52
1.677833,291.06429614296064,22.43245,20.3602855802062,24.47,0.17671574074090918,238.7811,0.896,3.55
0.8809311,199.0706451960841,22.4713,20.92095617078307,21.59,0.15974371974207244,231.2065,0.926,1.44
0.589043,188.54803810380838,21.80752,20.882295981934742,22.73,0.1747734948363914,153.4617,0.93,1.87
1.496755,172.41243534722327,21.70268,20.922260725425694,22.17,0.17269972410463436,299.2265,0.96,1.55
0.607844,237.7602156155454,23.11341,20.75333852624956,21.49,0.15088535331432068,218.273,1.07,1.54
0.9909643,227.35608446502354,22.05219,20.832137045078674,22.13,0.15934579848269342,244.9063,1.076,1.77
1.789642,212.3910407492487,21.41333,20.329382483073598,25.43,0.20646633622659097,276.6942,1.302,3.83
0.5212227,379.73399102169765,21.34089,19.81210724900155,24.29,0.16277495344468831,192.3092,2.012,3.87
0.6279639,326.5150481312293,22.55338,20.97968061781457,24.63,0.17374632570307574,297.1666,2.82,3.9
1.085395,47.62415504777527,22.15788,20.5096094819923,21.47,0.2446530117966784,141.2538,0.042,0.63
3.642011,251.88534898148825,22.47126,20.701195765621012,23.13,0.16606682107055104,246.6039,0.116,2.39
2.246524,198.65711110484014,20.87105,20.077316442647888,20.83,0.15257602413331423,210.8628,0.156,1.18
0.6887161,160.69178038714847,22.75637,20.817000513925006,21.69,0.1709788906093284,125.8925,0.246,1.32
3.044398,65.63413849276584,21.71091,19.66473322152441,20.17,0.20803181305613908,316.2278,0.25,0.52
2.769936,164.84302823705937,20.36507,20.137050727558876,21.49,0.16765506177055642,248.8857,0.264,1.27
0.9779925,155.1925917084223,21.04972,20.54622667767727,22.23,0.17863573884202302,147.2313,0.31,1.49
1.518687,182.35194831314766,21.33605,20.805563738607567,22.69,0.17592639012962882,183.6538,0.352,1.82
1.629803,73.88346682427762,21.66031,20.003912504920248,20.89,0.20696592088456378,260.6154,0.362,0.69
3.614025,110.49645270161272,21.96341,20.6432778944061,21.33,0.1870202043120626,322.1069,0.366,0.98
0.9674522,144.5255026972327,20.99699,20.607617579877214,21.51,0.1744463405566289,160.6941,0.38,1.19
0.7093553,191.42110307070945,21.40267,20.97906925048422,21.75,0.16318896174495945,131.5225,0.384,1.47
2.241208,165.62068432911818,21.81596,19.907759119520737,20.69,0.1597435458067427,260.016,0.39,1.03
0.7689005,206.26521235092352,20.44329,19.85270451196355,21.83,0.16057516392619844,139.6368,0.422,1.56
0.9508103,127.07902515636646,22.51205,20.74343304648939,22.05,0.18711749390408222,175.3881,0.452,1.28
